,Joint Angle,Current,Torque,Angular Velocity,Battery Voltage,Battery Current,Motor Temp
2025-11-12 20:06:08.146039,2.81,2.6,2.8,14.54,23.69,2.6,4.07
2025-11-12 20:06:08.651681,5.61,6.27,1.78,16.56,29.64,6.27,4.46
2025-11-12 20:06:09.159856,5.98,8.75,0.95,13.34,25.47,8.75,0.5
2025-11-12 20:06:09.666109,8.98,6.53,4.86,19.94,23.69,6.53,1.54
2025-11-12 20:06:10.170226,6.16,1.77,9.17,17.01,25.01,1.77,2.66
2025-11-12 20:06:10.678490,1.64,1.85,0.22,10.07,22.98,1.85,8.16
2025-11-12 20:06:11.181701,9.0,7.7,5.66,18.23,22.99,7.7,3.74
2025-11-12 20:06:11.690079,1.34,8.52,0.24,16.12,28.66,8.52,2.48
2025-11-12 20:06:12.195138,8.1,7.21,7.18,15.06,20.53,7.21,0.63
2025-11-12 20:06:12.698114,0.81,8.55,7.3,12.37,26.75,8.55,1.51
2025-11-12 20:06:13.206223,1.45,5.47,9.02,18.12,29.55,5.47,1.09
2025-11-12 20:06:13.714458,9.59,9.83,3.91,19.29,24.14,9.83,1.21
2025-11-12 20:06:14.220417,6.04,2.86,5.59,16.78,24.24,2.86,7.13
2025-11-12 20:06:14.727208,1.58,7.31,5.86,17.22,21.76,7.31,1.51
2025-11-12 20:06:15.234156,5.31,4.11,1.91,15.57,21.18,4.11,2.77
2025-11-12 20:06:15.741961,7.44,9.02,3.32,15.15,29.15,9.02,4.91
2025-11-12 20:06:16.248333,3.59,9.7,1.33,13.59,26.85,9.7,3.41
2025-11-12 20:06:16.756619,6.29,7.08,1.34,12.25,29.98,7.08,3.96
2025-11-12 20:06:17.262737,9.88,3.38,3.2,14.04,24.47,3.38,3.09
2025-11-12 20:06:17.770948,9.99,0.55,5.71,11.7,28.52,0.55,2.61
2025-11-12 20:06:18.275821,1.81,1.54,8.27,15.13,22.57,1.54,8.92
2025-11-12 20:06:18.783675,1.42,6.54,9.43,17.83,29.91,6.54,3.19
2025-11-12 20:06:19.289827,2.14,9.54,4.43,11.7,26.42,9.54,1.7
